"dc","sfp","n_exp2","n_exp1","pmi","cat","full"
"不","乎",1,101,NA,"rhet_q","不亦 … 乎"
"不","也",3,NA,NA,NA,NA
"不","焉",1,NA,NA,NA,NA
"亦","乎",1,69,3.1659935792444207,"rhet_q","不亦 … 乎"
"亦","矣",1,78,2.2065701887625604,"foc",NA
"以","也",3,337,NA,"foc",NA
"則","也",1,NA,NA,NA,NA
"安","乎",1,14,3.7327205085165103,"rhet_q",NA
"弗","也",1,109,1.7192559487143293,"decl",NA
"必","矣",2,178,2.0971646749250414,"epis",NA
"故","也",1,NA,NA,NA,NA
"斯","矣",1,29,3.968973523907901,"foc",NA
"未","也",4,198,1.8753892913041057,"epis",NA
"焉","哉",1,7,4.218213440066745,"rhet_q",NA
"無","矣",1,NA,NA,NA,NA
"盍","乎",1,6,4.939171385983937,"rhet_q",NA
"矧","思",1,NA,NA,NA,NA
"豈","哉",4,81,6.466500091955561,"rhet_q",NA
"非","也",7,371,2.331624405759564,"decl",NA
"直","耳",NA,3,7.293104986517001,"foc",NA
"抑","與",NA,6,7.162114769725741,"q",NA
"奚","哉",NA,6,5.043126733508654,"rhet_q",NA
"惡","哉",NA,5,4.557699906338412,"rhet_q",NA
"勿","耳",NA,3,4.472075127562321,"imp",NA
"已","矣",NA,64,3.5174680145557486,"asp",NA
"亦","已",NA,20,3.374448001381881,"foc","亦 … 而已"
"亦","而",NA,11,3.3209543000709023,"foc","亦 … 而已"
"惡","乎",NA,5,3.247293681346269,"rhet_q",NA
"何","哉",NA,16,3.235771811451049,"rhet_q",NA
"猶","與",NA,5,3.1885869810869316,"mod",NA
"獨","乎",NA,12,3.1318164639263335,"rhet_q",NA
"然","與",NA,9,2.7066630020009885,"disc","然則 … 與"
"豈","乎",NA,14,2.623598786136398,"rhet_q",NA
"莫","焉",NA,13,2.5951592036985383,"excl",NA
"盡","矣",NA,9,2.4735626081650373,"quant",NA
"何","乎",NA,23,2.4489275425159196,"q",NA
"非","與",NA,11,2.2914443620299756,"rhet_q",NA
"由","也",NA,9,2.263954579221758,"decl",NA
"何","焉",NA,12,2.233042018695478,"q",NA
"無","焉",NA,11,2.181511718055395,"excl/imp",NA
"固","矣",NA,20,2.080404208946906,"asp",NA
"嘗","矣",NA,13,1.932286641795807,"asp",NA
"易","也",NA,11,1.8753892913041057,"decl",NA
"則","矣",NA,285,1.8692058566505745,"disc",NA
"猶","也",NA,64,1.8309951719456516,"decl",NA
"既","矣",NA,27,1.7016913990506295,"asp",NA
"難","也",NA,13,1.5314348900867438,"decl",NA
"相","也",NA,83,1.2466765877899226,"fp",NA
"勿","也",NA,30,1.1798903144332835,"fp",NA
"況","乎",NA,7,5.4,"rhet_q",NA
"固","也",NA,35,NA,"epis",NA
"嘗","也",NA,25,NA,"epis","未嘗"
